title,url,language,category,file,summary,status
Acceptance Criteria,https://vibe-hub.org/en/acceptance-criteria,en,acceptance-criteria,pages/en/acceptance-criteria.md,"Acceptance criteria are checkable conditions that determine whether a result is acceptable. For an itinerary, saving can show the trip, refresh can keep it, and an end…",ok
Active,https://vibe-hub.org/en/active,en,active,pages/en/active.md,"Show that a control is being pressed right now. The active state appears during the press between pointer down and release. A small change in color, depth, or scale…",ok
Agent Loop,https://vibe-hub.org/en/agent-loop,en,agent-loop,pages/en/agent-loop.md,"The runtime mechanism that repeatedly calls a model and tools, then decides whether to continue, pause, or stop. While fixing a page button, a product feeds each read…",ok
AI Agent,https://vibe-hub.org/en/ai-agent,en,ai-agent,pages/en/ai-agent.md,"An AI system that can plan steps, use permitted tools, and act on results toward a goal. To fix a page, an agent can read the relevant file, edit it, run a check, and…",ok
AI Application Basics,https://vibe-hub.org/en/ai-basics,en,ai-basics,pages/en/ai-basics.md,"A product that uses an AI model, an interface, and sometimes tools to help people complete tasks. When you ask a calendar assistant about tomorrow afternoon, the…",ok
AI Hallucination,https://vibe-hub.org/en/ai-hallucination,en,ai-hallucination,pages/en/ai-hallucination.md,"An AI hallucination is information a model generates that looks credible but is inaccurate, unsupported, or invented. An AI can invent venue hours, a nonexistent link…",ok
Alert,https://vibe-hub.org/en/alert,en,alert,pages/en/alert.md,"Keep an important message or warning visible on the page. An alert sits near the related content and explains a status, risk, or problem without blocking the whole…",ok
Anchor,https://vibe-hub.org/en/anchor,en,anchor,pages/en/anchor.md,"Jump to a named section on the same long page. Anchor navigation helps people scan and jump within documentation, policies, and other long pages. Keep section labels…",ok
Animation,https://vibe-hub.org/en/animation,en,animation,pages/en/animation.md,"Run a planned sequence of visual changes. Animation can repeat, play through keyframes, or express a larger state change that a simple transition cannot. Use it to…",ok
API,https://vibe-hub.org/en/api,en,api,pages/en/api.md,"An agreed way for two pieces of software to request and return information. For example, a weather app can ask a weather service for today's Shenzhen forecast and…",ok
Authentication,https://vibe-hub.org/en/authentication,en,authentication,pages/en/authentication.md,"Verify who is making the request. Authentication proves an identity through a password, passkey, one-time code, or trusted provider and then maintains a session. Store…",ok
Authorization,https://vibe-hub.org/en/authorization,en,authorization,pages/en/authorization.md,Decide what an authenticated user is allowed to see or change. Authorization checks permissions for each resource and action after the user's identity is known. A…,ok
AutoComplete,https://vibe-hub.org/en/auto-complete,en,auto-complete,pages/en/auto-complete.md,"Show matching suggestions while the user types. Autocomplete works for addresses, contacts, and tags that have common answers but may still allow free text. The user…",ok
Avatar,https://vibe-hub.org/en/avatar,en,avatar,pages/en/avatar.md,"Represent a person, team, or organization visually. An avatar may be a photo, initials, illustration, or logo; it does not have to be a circular face. Member lists and…",ok
BackTop,https://vibe-hub.org/en/back-top,en,back-top,pages/en/back-top.md,"Return quickly to the top of a long page. A back-to-top control is useful after substantial scrolling, especially when important navigation sits at the top. Keep it out…",ok
Backdrop Blur,https://vibe-hub.org/en/backdrop-blur,en,backdrop-blur,pages/en/backdrop-blur.md,Blur the content behind a translucent surface. Backdrop blur creates a frosted-glass effect by blurring what is behind a partly transparent element. It can separate a…,ok
Backend,https://vibe-hub.org/en/backend,en,backend,pages/en/backend.md,"The server-side part people usually cannot see that handles requests and data. After someone submits a sign-up form, the backend checks the phone number and code…",ok
Backend Framework,https://vibe-hub.org/en/backend-framework,en,backend-framework,pages/en/backend-framework.md,"Use a shared structure for routes, requests, data, and server behavior. A backend framework supplies conventions and tools for routing, input handling, middleware…",ok
Badge,https://vibe-hub.org/en/badge,en,badge,pages/en/badge.md,"Add a count or compact status next to another object. A badge sits beside an icon, tab, or avatar to show a count, short label, or status dot, such as unread messages.…",ok
BorderRadius,https://vibe-hub.org/en/border-radius,en,border-radius,pages/en/border-radius.md,"Round the corners of a box. Border radius changes sharp corners into rounded ones and helps set the visual tone of controls, cards, and images. Define a small set of…",ok
Box Model,https://vibe-hub.org/en/box-model,en,box-model,pages/en/box-model.md,"The box model is the browser's rule for the space used by an element's content, padding, border, and margin. A card with 320px of content width can occupy more after…",ok
Branch,https://vibe-hub.org/en/branch,en,branch,pages/en/branch.md,"Develop an independent line of work without changing the main line. A branch is a movable name pointing to a series of commits. It lets a feature, fix, or experiment…",ok
Breadcrumb,https://vibe-hub.org/en/breadcrumb,en,breadcrumb,pages/en/breadcrumb.md,Show the path from a broad section to the current page. Breadcrumbs help people understand where a deeply nested page sits and let them move back to a parent level.…,ok
Browser Storage,https://vibe-hub.org/en/browser-storage,en,browser-storage,pages/en/browser-storage.md,"Browser storage is a local web mechanism for keeping data in a person's current browser. It can remember dark mode, an unsubmitted form draft, or recently viewed…",ok
Build,https://vibe-hub.org/en/build,en,build,pages/en/build.md,"A build converts source code, dependencies, and configuration into a runnable or releasable artifact. Front-end source can build into a `dist` folder and service code…",ok
Button,https://vibe-hub.org/en/button,en,button,pages/en/button.md,"Click to save, submit, delete, or run another action. A button runs an action on the current page, such as saving a form, creating a project, or confirming a deletion.…",ok
Card,https://vibe-hub.org/en/card,en,card,pages/en/card.md,"Keep information about one item in a single block. A card usually groups an image, title, summary, and actions for the same object. It works well for browsing similar…",ok
Card Grid,https://vibe-hub.org/en/card-grid-layout,en,card-grid-layout,pages/en/card-grid-layout.md,"Arrange similar cards in a responsive grid. A card grid helps people browse products, templates, articles, or projects with a shared visual structure. Define how…",ok
Carousel,https://vibe-hub.org/en/carousel,en,carousel,pages/en/carousel.md,"Show several panels one at a time in the same space. A carousel often appears in promotional banners and onboarding, but later slides are easy to miss. Do not place…",ok
Cascader,https://vibe-hub.org/en/cascader,en,cascader,pages/en/cascader.md,"Choose a path one level at a time. A cascader works for data such as country, state, and city or a nested product category. Keep the current path visible and explain…",ok
CD,https://vibe-hub.org/en/cd,en,cd,pages/en/cd.md,"CD keeps verified versions continuously releasable, or releases them to production automatically under defined rules. Continuous delivery keeps a version through the…",ok
CDN,https://vibe-hub.org/en/cdn,en,cdn,pages/en/cdn.md,"Serve static files from locations closer to visitors. A content delivery network caches images, scripts, styles, and sometimes pages across many edge locations. It can…",ok
Centered Column,https://vibe-hub.org/en/centered-layout,en,centered-layout,pages/en/centered-layout.md,"Keep one narrow content column centered on the page. A centered column focuses attention on reading or one simple task such as signing in, composing a post, or changing…",ok
Centering,https://vibe-hub.org/en/centering,en,centering,pages/en/centering.md,"Align an element to the middle of the available space. Centering may mean horizontal alignment, vertical alignment, or both. Text can use text alignment, a fixed-width…",ok
Chart,https://vibe-hub.org/en/chart,en,chart,pages/en/chart.md,"A chart is a way to compare and understand data through visual encodings such as position, length, size, or color. A line chart can show orders changing by month, while…",ok
Chat UI,https://vibe-hub.org/en/chat-ui,en,chat-ui,pages/en/chat-ui.md,"A chat UI is the interactive interface that organizes a message list, input area, and conversation feedback states. After someone sends a question, the interface should…",ok
Checkbox,https://vibe-hub.org/en/checkbox,en,checkbox,pages/en/checkbox.md,"Choose one, several, or none of the options. Checkboxes work for interests, filters, and other choices that are independent of one another. A single checkbox can also…",ok
CI,https://vibe-hub.org/en/ci,en,ci,pages/en/ci.md,"CI is the practice of automatically building and testing changes as they enter shared code, so integration problems appear early. A PR can automatically run lint, unit…",ok
Clone,https://vibe-hub.org/en/clone,en,clone,pages/en/clone.md,"Create a local copy of a remote repository and its history. Clone downloads a repository, creates a working directory, and configures the original location as a remote.…",ok
Collapse,https://vibe-hub.org/en/collapse,en,collapse,pages/en/collapse.md,Hide secondary details until the user asks for them. A collapse panel shows a heading first and expands the body on request. It suits FAQs and advanced settings. Do not…,ok
ColorPicker,https://vibe-hub.org/en/color-picker,en,color-picker,pages/en/color-picker.md,"A form control for viewing and choosing a color value. Use a color picker for a theme, chart series, or drawing tool. Along with the palette, show a copyable value…",ok
Commit,https://vibe-hub.org/en/commit,en,commit,pages/en/commit.md,"Save one meaningful set of changes in the project history. A commit records selected changes with an author, time, and message. Before undoing work, distinguish…",ok
Component,https://vibe-hub.org/en/component,en,component,pages/en/component.md,"A component is a unit that groups a reusable piece of interface with the behavior it owns. For example, a product card can be shared by the home page, search results…",ok
Context Engineering,https://vibe-hub.org/en/context-engineering,en,context-engineering,pages/en/context-engineering.md,"Selecting, maintaining, and retrieving the information an AI agent needs for each turn. For a long login-fix task, give the agent the error, relevant files, confirmed…",ok
Context Window,https://vibe-hub.org/en/context-window,en,context-window,pages/en/context-window.md,"The total amount of input and output a model can process in one request. After a long chat, “follow the first requirement” can fail if that requirement was not included…",ok
Conversation History,https://vibe-hub.org/en/conversation-history,en,conversation-history,pages/en/conversation-history.md,"Earlier messages a product brings into a new request so the assistant can understand references. When you say “make the second one shorter,” the product can bring back…",ok
Corner Feel,https://vibe-hub.org/en/corner-feel,en,corner-feel,pages/en/corner-feel.md,"Use corner shape to support the product's visual tone. Sharp, softly rounded, and pill-shaped corners can make a page feel different, but the effect comes from…",ok
CORS,https://vibe-hub.org/en/cors,en,cors,pages/en/cors.md,CORS is the browser security mechanism that lets a page read a cross-origin response only after the server explicitly permits it. When a page on `app.example.com`…,ok
CTA,https://vibe-hub.org/en/cta,en,cta,pages/en/cta.md,"Tell visitors the next action you want them to take. A call to action turns the page's message into a concrete next step, such as Start free, Book a demo, or Download.…",ok
